JSON File,Size,McCabe,Readability,Revisions
source_jsons/checkstyle/2833.json,5,2,0.09770103543996811,4
source_jsons/checkstyle/729.json,4,2,0.268399178981781,4
source_jsons/checkstyle/3371.json,14,4,0.38173672556877136,2
source_jsons/checkstyle/683.json,9,3,0.24129807949066162,2
source_jsons/checkstyle/379.json,8,2,0.023222628980875015,4
source_jsons/checkstyle/2999.json,14,6,0.040258169174194336,7
source_jsons/checkstyle/2130.json,3,2,0.6903730630874634,4
source_jsons/checkstyle/2560.json,17,4,0.04166710004210472,7
source_jsons/checkstyle/2075.json,4,3,0.47539040446281433,11
source_jsons/checkstyle/2425.json,10,4,0.17654366791248322,9
source_jsons/checkstyle/3664.json,13,4,0.024866275489330292,10
source_jsons/checkstyle/1659.json,3,2,0.30520159006118774,2
source_jsons/checkstyle/2976.json,3,2,0.7085583806037903,4
source_jsons/checkstyle/396.json,3,2,0.8793603777885437,1
source_jsons/checkstyle/3234.json,3,2,0.29314103722572327,11
source_jsons/checkstyle/1209.json,3,2,0.6119744777679443,1
source_jsons/checkstyle/816.json,23,7,0.00928390584886074,15
source_jsons/checkstyle/1823.json,11,4,0.016151444986462593,3
source_jsons/checkstyle/115.json,4,2,0.9178528785705566,1
source_jsons/checkstyle/1120.json,4,2,0.5400454998016357,6
source_jsons/checkstyle/545.json,5,2,0.27289479970932007,3
source_jsons/checkstyle/1570.json,33,21,0.0,9
source_jsons/checkstyle/1065.json,4,2,0.6302159428596497,5
source_jsons/checkstyle/3058.json,12,5,0.03652074187994003,10
source_jsons/checkstyle/1435.json,3,2,0.843643844127655,5
source_jsons/checkstyle/3408.json,10,4,0.19474546611309052,2
source_jsons/checkstyle/400.json,7,2,0.12547710537910461,2
source_jsons/checkstyle/1966.json,3,2,0.020234761759638786,4
source_jsons/checkstyle/2649.json,3,2,0.5816965103149414,3
source_jsons/checkstyle/953.json,10,4,0.18804630637168884,7
source_jsons/checkstyle/2219.json,7,4,0.3245260417461395,1
source_jsons/checkstyle/2537.json,3,2,0.8952304720878601,7
source_jsons/checkstyle/2167.json,3,2,0.30520159006118774,1
source_jsons/checkstyle/3326.json,11,4,0.18091991543769836,15
source_jsons/checkstyle/3776.json,3,2,0.7949999570846558,4
source_jsons/checkstyle/2864.json,6,3,0.366650253534317,8
source_jsons/checkstyle/284.json,7,2,0.10565077513456345,1
source_jsons/checkstyle/3263.json,4,3,0.6735448241233826,10
source_jsons/checkstyle/791.json,3,2,0.9310019016265869,5
source_jsons/checkstyle/3799.json,3,2,0.9448639750480652,3
source_jsons/checkstyle/2921.json,13,5,0.6209402084350586,7
source_jsons/checkstyle/2472.json,6,2,0.7110483050346375,5
source_jsons/checkstyle/2188.json,9,3,0.09372828155755997,4
source_jsons/checkstyle/2022.json,3,2,0.6669473648071289,4
source_jsons/checkstyle/1527.json,3,2,0.6771855354309082,2
source_jsons/checkstyle/512.json,21,5,2.523288130760193E-4,12
source_jsons/checkstyle/1177.json,3,5,0.35439354181289673,3
source_jsons/checkstyle/142.json,3,2,0.005240166559815407,1
source_jsons/checkstyle/1874.json,3,2,0.7108063101768494,3
source_jsons/checkstyle/3849.json,7,3,0.30922365188598633,3
source_jsons/checkstyle/841.json,3,2,0.5844929218292236,3
source_jsons/checkstyle/904.json,15,3,0.10841654241085052,6
source_jsons/checkstyle/1931.json,3,2,0.004209777340292931,1
source_jsons/checkstyle/1198.json,9,5,0.08419381827116013,7
source_jsons/checkstyle/457.json,3,2,0.8793603777885437,1
source_jsons/checkstyle/1462.json,15,5,0.033733170479536057,10
source_jsons/checkstyle/1032.json,3,2,0.8029484748840332,1
source_jsons/checkstyle/292.json,3,2,0.8793603777885437,1
source_jsons/checkstyle/2872.json,8,4,0.48999249935150146,4
source_jsons/checkstyle/3760.json,3,2,0.868671178817749,3
source_jsons/checkstyle/768.json,3,2,0.7361119985580444,5
source_jsons/checkstyle/3330.json,9,2,0.07639948278665543,4
source_jsons/checkstyle/338.json,8,2,0.010674746707081795,1
source_jsons/checkstyle/2171.json,3,2,0.4959413707256317,3
source_jsons/checkstyle/2521.json,10,4,0.07136083394289017,4
source_jsons/checkstyle/2034.json,3,2,0.2097175270318985,5
source_jsons/checkstyle/2464.json,3,2,0.7586314678192139,3
source_jsons/checkstyle/2937.json,14,4,0.02023736760020256,5
source_jsons/checkstyle/1618.json,11,5,0.07913569360971451,2
source_jsons/checkstyle/3625.json,3,2,0.7830829620361328,8
source_jsons/checkstyle/787.json,21,5,0.021090121939778328,14
source_jsons/checkstyle/1248.json,14,8,0.010432333685457706,27
source_jsons/checkstyle/3275.json,3,2,0.6974470019340515,4
source_jsons/checkstyle/857.json,6,2,0.1253243088722229,11
source_jsons/checkstyle/1862.json,3,2,0.7147223949432373,3
source_jsons/checkstyle/154.json,13,2,0.1529425084590912,12
source_jsons/checkstyle/1161.json,3,2,0.7077475190162659,3
source_jsons/checkstyle/504.json,11,3,0.2654995918273926,7
source_jsons/checkstyle/1531.json,8,4,0.444595605134964,2
source_jsons/checkstyle/3019.json,4,6,0.20516303181648254,5
source_jsons/checkstyle/1024.json,35,12,0.0,26
source_jsons/checkstyle/3449.json,4,3,0.8106798529624939,3
source_jsons/checkstyle/1474.json,3,2,0.6584488749504089,3
source_jsons/checkstyle/441.json,7,2,0.10235728323459625,4
source_jsons/checkstyle/2608.json,3,2,0.29715052247047424,2
source_jsons/checkstyle/1927.json,3,2,0.35067808628082275,2
source_jsons/checkstyle/912.json,3,2,0.8979837894439697,1
source_jsons/checkstyle/2258.json,3,2,0.18300190567970276,1
source_jsons/checkstyle/2576.json,3,2,0.018239565193653107,7
source_jsons/checkstyle/2126.json,6,7,0.31192925572395325,18
source_jsons/checkstyle/695.json,8,3,0.4321247935295105,1
source_jsons/checkstyle/3367.json,11,3,0.22789356112480164,2
source_jsons/checkstyle/2825.json,4,2,0.0,3
source_jsons/checkstyle/3737.json,3,2,0.8095822334289551,2
source_jsons/checkstyle/3222.json,3,2,0.05919075012207031,1
source_jsons/checkstyle/380.json,3,2,0.8793603777885437,1
source_jsons/checkstyle/2960.json,4,2,0.6079609394073486,1
source_jsons/checkstyle/3672.json,3,2,0.9191653728485107,3
source_jsons/checkstyle/3388.json,10,4,0.35378751158714294,4
source_jsons/checkstyle/2433.json,17,5,0.3749600648880005,12
source_jsons/checkstyle/2063.json,7,3,0.15108826756477356,2
source_jsons/checkstyle/2599.json,3,2,0.7046144604682922,6
source_jsons/checkstyle/1566.json,3,2,0.29413002729415894,4
source_jsons/checkstyle/553.json,3,2,0.022822685539722443,2
source_jsons/checkstyle/1136.json,3,2,0.30247873067855835,2
source_jsons/checkstyle/103.json,3,2,0.9961209893226624,1
source_jsons/checkstyle/3808.json,3,2,0.7345921993255615,2
source_jsons/checkstyle/1835.json,8,6,0.2704195976257324,3
source_jsons/checkstyle/800.json,3,2,0.7837176322937012,6
source_jsons/checkstyle/945.json,3,2,0.1145414486527443,1
source_jsons/checkstyle/1970.json,58,17,0.0,19
source_jsons/checkstyle/416.json,7,2,0.220690056681633,1
source_jsons/checkstyle/1423.json,12,6,0.0,9
source_jsons/checkstyle/1589.json,3,2,0.5942791104316711,2
source_jsons/checkstyle/1073.json,3,2,0.0,2
source_jsons/checkstyle/1264.json,3,2,0.36336749792099,2
source_jsons/checkstyle/3259.json,14,5,0.07341606169939041,1
source_jsons/checkstyle/251.json,7,2,0.08186306059360504,2
source_jsons/checkstyle/1634.json,6,3,0.06282518059015274,4
source_jsons/checkstyle/3609.json,3,2,0.9191334843635559,7
source_jsons/checkstyle/601.json,3,2,0.7502820491790771,1
source_jsons/checkstyle/2448.json,6,4,0.15722928941249847,7
source_jsons/checkstyle/2018.json,3,3,0.05726759508252144,3
source_jsons/checkstyle/314.json,8,2,0.062001436948776245,1
source_jsons/checkstyle/1321.json,15,12,0.0024560983292758465,13
source_jsons/checkstyle/744.json,3,2,0.01749623380601406,3
source_jsons/checkstyle/1771.json,7,4,0.11330466717481613,7
source_jsons/checkstyle/894.json,15,3,0.14412015676498413,2
source_jsons/checkstyle/2274.json,3,2,0.8316037654876709,3
source_jsons/checkstyle/2624.json,3,2,0.34657642245292664,4
source_jsons/checkstyle/197.json,7,2,0.1636049598455429,3
source_jsons/checkstyle/3465.json,3,2,0.19789531826972961,6
source_jsons/checkstyle/1458.json,15,5,0.005319386254996061,31
source_jsons/checkstyle/3035.json,11,5,0.03676700219511986,1
source_jsons/checkstyle/1008.json,6,3,0.7444063425064087,4
source_jsons/checkstyle/528.json,3,2,0.9112213850021362,1
source_jsons/checkstyle/482.json,8,2,0.04704035446047783,1
source_jsons/checkstyle/3170.json,10,8,0.0014949693577364087,8
source_jsons/checkstyle/178.json,7,2,0.020807914435863495,1
source_jsons/checkstyle/20.json,23,7,0.824739933013916,1
source_jsons/checkstyle/2331.json,4,2,0.4466589093208313,5
source_jsons/checkstyle/2761.json,8,4,0.00248995004221797,10
source_jsons/checkstyle/656.json,3,2,0.6454842686653137,1
source_jsons/checkstyle/1399.json,9,4,0.2748992443084717,11
source_jsons/checkstyle/1663.json,3,2,0.5941228270530701,2
