JSON File,Size,McCabe,Readability,Revisions
source_jsons/hadoop/57896.json,3,2,0.8668649792671204,3
source_jsons/hadoop/66332.json,3,2,0.43255871534347534,1
source_jsons/hadoop/30552.json,12,5,0.023450039327144623,3
source_jsons/hadoop/3721.json,4,2,0.2386036515235901,2
source_jsons/hadoop/51041.json,3,2,0.009637448005378246,3
source_jsons/hadoop/2833.json,3,2,0.16320441663265228,2
source_jsons/hadoop/29289.json,5,3,0.2968437969684601,7
source_jsons/hadoop/56784.json,3,2,0.1348688006401062,1
source_jsons/hadoop/49888.json,3,2,0.29451367259025574,3
source_jsons/hadoop/23684.json,3,2,0.6624380946159363,1
source_jsons/hadoop/72721.json,3,2,0.6077782511711121,1
source_jsons/hadoop/24141.json,8,3,0.898169994354248,2
source_jsons/hadoop/59471.json,3,2,0.8301591873168945,1
source_jsons/hadoop/73833.json,4,2,0.4835726022720337,1
source_jsons/hadoop/42397.json,9,4,0.16487383842468262,1
source_jsons/hadoop/13232.json,3,2,0.7493586540222168,9
source_jsons/hadoop/45452.json,6,3,0.20001235604286194,4
source_jsons/hadoop/22996.json,4,2,0.7506575584411621,3
source_jsons/hadoop/729.json,3,2,0.911190927028656,5
source_jsons/hadoop/40650.json,25,6,0.0012529043015092611,6
source_jsons/hadoop/41942.json,3,2,0.28464701771736145,1
source_jsons/hadoop/26486.json,3,2,0.09097278863191605,1
source_jsons/hadoop/77523.json,3,2,0.809238076210022,1
source_jsons/hadoop/21343.json,11,2,1.1659156734822318E-4,7
source_jsons/hadoop/54243.json,3,2,0.3011401891708374,1
source_jsons/hadoop/29773.json,3,2,0.7023749947547913,1
source_jsons/hadoop/34842.json,3,2,0.7092195749282837,1
source_jsons/hadoop/63130.json,3,2,5.977388937026262E-4,3
source_jsons/hadoop/35750.json,5,2,0.10808511823415756,2
source_jsons/hadoop/48260.json,3,2,0.29451367259025574,3
source_jsons/hadoop/83364.json,3,3,0.6489531993865967,1
source_jsons/hadoop/32095.json,11,3,0.675311267375946,8
source_jsons/hadoop/6523.json,3,2,0.9973782300949097,17
source_jsons/hadoop/81359.json,5,2,0.2661284804344177,4
source_jsons/hadoop/51411.json,3,2,0.31959694623947144,3
source_jsons/hadoop/67870.json,30,7,0.0,8
source_jsons/hadoop/66762.json,3,2,0.8898501992225647,2
source_jsons/hadoop/6489.json,7,3,0.03360088914632797,4
source_jsons/hadoop/3371.json,13,6,0.006546163931488991,3
source_jsons/hadoop/683.json,4,2,0.5859235525131226,1
source_jsons/hadoop/69497.json,3,2,0.09330981224775314,4
source_jsons/hadoop/38532.json,3,2,0.6730002164840698,1
source_jsons/hadoop/13662.json,4,3,0.5055539608001709,8
source_jsons/hadoop/59021.json,9,4,0.21406731009483337,1
source_jsons/hadoop/72371.json,12,3,0.0033641334157437086,1
source_jsons/hadoop/77489.json,3,2,0.9231544733047485,4
source_jsons/hadoop/21713.json,9,5,0.25389596819877625,4
source_jsons/hadoop/77173.json,7,2,0.0016661701956763864,6
source_jsons/hadoop/20801.json,6,3,0.5490398406982422,3
source_jsons/hadoop/73999.json,7,2,0.6874931454658508,2
source_jsons/hadoop/379.json,3,2,0.6646934151649475,2
source_jsons/hadoop/16460.json,6,2,0.014220020733773708,5
source_jsons/hadoop/9286.json,3,2,0.45052698254585266,1
source_jsons/hadoop/13398.json,11,3,3.7438125582411885E-4,2
source_jsons/hadoop/48630.json,4,2,0.10604951530694962,3
source_jsons/hadoop/35300.json,2,2,0.856835663318634,1
